_id,Name,Price,NewPrice,OldPrice,Size,Time,LastBump,Link
671c1df6e382a9df1b29a339,Chrome Hearts Logo New York T shirt,$500,,,XL,(22 days),about 1 hour ago(22 days),https://www.grailed.com/listings/68466696-chrome-hearts-chrome-hearts-logo-new-york-t-shirt?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a33a,Chrome Hearts Leather Flare Knee Pants,$4500,,,30,(14 days),about 1 hour ago(14 days),https://www.grailed.com/listings/68868754-chrome-hearts-chrome-hearts-leather-flare-knee-pants?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a33b,Chrome Hearts Fleurknee BONZO Backpack,$10915,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68510916-chrome-hearts-chrome-hearts-fleurknee-bonzo-backpack?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a33c,Chrome Hearts Agenda Cover,$1250,,,OS,(6 days),about 1 hour ago(6 days),https://www.grailed.com/listings/69216202-chrome-hearts-chrome-hearts-agenda-cover?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a33d,Brown Leather Belt Strap (Size 32),$795,,,32,,about 1 hour ago,https://www.grailed.com/listings/69561721-chrome-hearts-brown-leather-belt-strap-size-32?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a33e,Chrome Hearts Cross Patch Cosmetic Pouch / Toiletry Bag,$4425,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68510811-chrome-hearts-chrome-hearts-cross-patch-cosmetic-pouch-toiletry-bag?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a33f,Chrome Hearts Triple Cemetery Clutch,$1650,,,OS,(6 days),about 1 hour ago(6 days),https://www.grailed.com/listings/69216073-chrome-hearts-chrome-hearts-triple-cemetery-clutch?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a340,CHROME HEARTS FRIGEE BELT BUCKLE,$1650,,,OS,(28 days),about 1 hour ago(28 days),https://www.grailed.com/listings/68123373-chrome-hearts-chrome-hearts-frigee-belt-buckle?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a341,CHROME HEARTS FLAME DAGGER ZIP WALLET,$850,,,OS,(28 days),about 1 hour ago(28 days),https://www.grailed.com/listings/68123364-chrome-hearts-chrome-hearts-flame-dagger-zip-wallet?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a342,CHROME HEARTS GOD BLESS CEMETERY DOG TAG,$720,,,OS,(28 days),about 1 hour ago(28 days),https://www.grailed.com/listings/68123352-chrome-hearts-chrome-hearts-god-bless-cemetery-dog-tag?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
